+-----------------+-------+---------+
|       Food      | Count | Percent |
|      seeded     |   1   |   0.08  |
|      savory     |   1   |   0.08  |
|       roll      |   1   |   0.08  |
|     ricotta     |   1   |   0.08  |
|      ramen      |   1   |   0.08  |
|      quinoa     |   1   |   0.08  |
|      purple     |   1   |   0.08  |
|  pumpkin spice  |   1   |   0.08  |
|   pumpkin pie   |   1   |   0.08  |
|     pumpkin     |   1   |   0.08  |
|     pudding     |   1   |   0.08  |
|      proof      |   1   |   0.08  |
|     popeyes     |   1   |   0.08  |
|     popcorn     |   1   |   0.08  |
|    pop tarts    |   1   |   0.08  |
|   pomegranate   |   1   |   0.08  |
|       pods      |   1   |   0.08  |
|      plate      |   1   |   0.08  |
|       peas      |   1   |   0.08  |
|     peaches     |   1   |   0.08  |
|      peach      |   1   |   0.08  |
|      party      |   1   |   0.08  |
|      oyster     |   1   |   0.08  |
|       ones      |   1   |   0.08  |
|      olive      |   1   |   0.08  |
|       oil       |   1   |   0.08  |
|      nectar     |   1   |   0.08  |
|  musketeers bar |   1   |   0.08  |
|      mousse     |   1   |   0.08  |
|     molasses    |   1   |   0.08  |
|      moist      |   1   |   0.08  |
|       mint      |   1   |   0.08  |
|     meringue    |   1   |   0.08  |
|    mcgriddles   |   1   |   0.08  |
|    marmalade    |   1   |   0.08  |
|      maple      |   1   |   0.08  |
|      lunch      |   1   |   0.08  |
|     lobster     |   1   |   0.08  |
|     liquids     |   1   |   0.08  |
|     lettuce     |   1   |   0.08  |
|      lemons     |   1   |   0.08  |
|       leg       |   1   |   0.08  |
|       lamb      |   1   |   0.08  |
|      label      |   1   |   0.08  |
|       kale      |   1   |   0.08  |
|      juice      |   1   |   0.08  |
|        jo       |   1   |   0.08  |
|       item      |   1   |   0.08  |
|       inch      |   1   |   0.08  |
|       iced      |   1   |   0.08  |
|      higher     |   1   |   0.08  |
|     hazelnut    |   1   |   0.08  |
|       half      |   1   |   0.08  |
|      gumbo      |   1   |   0.08  |
|       gum       |   1   |   0.08  |
|      grits      |   1   |   0.08  |
|      grapes     |   1   |   0.08  |
|      golden     |   1   |   0.08  |
|       gin       |   1   |   0.08  |
|      giant      |   1   |   0.08  |
|        g        |   1   |   0.08  |
|   fudge sundae  |   1   |   0.08  |
|   fruit punch   |   1   |   0.08  |
|      foods      |   1   |   0.08  |
|       flan      |   1   |   0.08  |
|     filling     |   1   |   0.08  |
|      filled     |   1   |   0.08  |
|      family     |   1   |   0.08  |
|       eyes      |   1   |   0.08  |
|        es       |   1   |   0.08  |
|      energy     |   1   |   0.08  |
|    dumplings    |   1   |   0.08  |
|       dove      |   1   |   0.08  |
|       dogs      |   1   |   0.08  |
|    distilled    |   1   |   0.08  |
|     cutlets     |   1   |   0.08  |
|       cup       |   1   |   0.08  |
|      cubes      |   1   |   0.08  |
|     crunchy     |   1   |   0.08  |
|   cream cheese  |   1   |   0.08  |
|     cornish     |   1   |   0.08  |
|   corn flakes   |   1   |   0.08  |
|     cooking     |   1   |   0.08  |
|      colada     |   1   |   0.08  |
|   coconut milk  |   1   |   0.08  |
|     cocktail    |   1   |   0.08  |
|     cinnamon    |   1   |   0.08  |
|    christmas    |   1   |   0.08  |
|      child      |   1   |   0.08  |
|    cherry pie   |   1   |   0.08  |
|     cherries    |   1   |   0.08  |
|    character    |   1   |   0.08  |
|        ch       |   1   |   0.08  |
|     caramel     |   1   |   0.08  |
|   candy cotton  |   1   |   0.08  |
|     burrito     |   1   |   0.08  |
|      bright     |   1   |   0.08  |
|      brand      |   1   |   0.08  |
|       box       |   1   |   0.08  |
|       bowl      |   1   |   0.08  |
|       boo       |   1   |   0.08  |
|      bliss      |   1   |   0.08  |
|      black      |   1   |   0.08  |
|       bite      |   1   |   0.08  |
|     biscuits    |   1   |   0.08  |
|      batter     |   1   |   0.08  |
|       bar       |   1   |   0.08  |
|        b        |   1   |   0.08  |
|     avocados    |   1   |   0.08  |
|       art       |   1   |   0.08  |
|     arizona     |   1   |   0.08  |
|      apples     |   1   |   0.08  |
|      apple      |   1   |   0.08  |
|      almond     |   1   |   0.08  |
|    adventure    |   1   |   0.08  |
+-----------------+-------+---------+
