+------------------+-------+---------+
|       Food       | Count | Percent |
|       jar        |   2   |   0.1   |
|       inch       |   2   |   0.1   |
|      icing       |   2   |   0.1   |
|       iced       |   2   |   0.1   |
|     homemade     |   2   |   0.1   |
|     hawaiian     |   2   |   0.1   |
|       hard       |   2   |   0.1   |
|      guava       |   2   |   0.1   |
|      grits       |   2   |   0.1   |
|      glazed      |   2   |   0.1   |
|       fun        |   2   |   0.1   |
|       full       |   2   |   0.1   |
|       form       |   2   |   0.1   |
|      flakes      |   2   |   0.1   |
|     filling      |   2   |   0.1   |
|       eyes       |   2   |   0.1   |
|      eggnog      |   2   |   0.1   |
|       egg        |   2   |   0.1   |
|      edible      |   2   |   0.1   |
|       dry        |   2   |   0.1   |
|     drinking     |   2   |   0.1   |
|      double      |   2   |   0.1   |
|     dessert      |   2   |   0.1   |
|       cups       |   2   |   0.1   |
|      crispy      |   2   |   0.1   |
|     cinnamon     |   2   |   0.1   |
|  chocolate milk  |   2   |   0.1   |
|      cherry      |   2   |   0.1   |
|     cake mix     |   2   |   0.1   |
|       buns       |   2   |   0.1   |
|     brownies     |   2   |   0.1   |
|     brownie      |   2   |   0.1   |
|      bright      |   2   |   0.1   |
|   blueberries    |   2   |   0.1   |
|      blood       |   2   |   0.1   |
|      batter      |   2   |   0.1   |
|      bamboo      |   2   |   0.1   |
|      baking      |   2   |   0.1   |
|        b         |   2   |   0.1   |
|      apples      |   2   |   0.1   |
|    adventure     |   2   |   0.1   |
|      young       |   1   |   0.05  |
|       york       |   1   |   0.05  |
|        x         |   1   |   0.05  |
|      women       |   1   |   0.05  |
|      winter      |   1   |   0.05  |
|       wine       |   1   |   0.05  |
|      whole       |   1   |   0.05  |
|     whiskey      |   1   |   0.05  |
|      whale       |   1   |   0.05  |
|    well water    |   1   |   0.05  |
|       wash       |   1   |   0.05  |
|      wasabi      |   1   |   0.05  |
|      vodka       |   1   |   0.05  |
|     vitamin      |   1   |   0.05  |
|     vinegar      |   1   |   0.05  |
|     turnips      |   1   |   0.05  |
|       tuna       |   1   |   0.05  |
|     truffle      |   1   |   0.05  |
